Year,Quarter,Rigs,Country,Lat,LON
2018,Q4,225,Asia_Pacific,12.85034575,109.6613752
2018,Q3,225,Asia_Pacific,12.85034575,109.6613752
2018,Q2,214,Asia_Pacific,12.85034575,109.6613752
2018,Q1,212,Asia_Pacific,12.85034575,109.6613752
2017,Q4,214,Asia_Pacific,12.85034575,109.6613752
2017,Q3,193,Asia_Pacific,12.85034575,109.6613752
2017,Q2,199,Asia_Pacific,12.85034575,109.6613752
2017,Q1,197,Asia_Pacific,12.85034575,109.6613752
2016,Q4,187,Asia_Pacific,12.85034575,109.6613752
2016,Q3,190,Asia_Pacific,12.85034575,109.6613752
2016,Q2,184,Asia_Pacific,12.85034575,109.6613752
2016,Q1,186,Asia_Pacific,12.85034575,109.6613752
2015,Q4,206,Asia_Pacific,12.85034575,109.6613752
2015,Q3,217,Asia_Pacific,12.85034575,109.6613752
2015,Q2,220,Asia_Pacific,12.85034575,109.6613752
2015,Q1,235,Asia_Pacific,12.85034575,109.6613752
2014,Q4,254,Asia_Pacific,12.85034575,109.6613752
2014,Q3,256,Asia_Pacific,12.85034575,109.6613752
2014,Q2,249,Asia_Pacific,12.85034575,109.6613752
2014,Q1,258,Asia_Pacific,12.85034575,109.6613752
2013,Q4,245,Asia_Pacific,12.85034575,109.6613752
2013,Q3,241,Asia_Pacific,12.85034575,109.6613752
2013,Q2,252,Asia_Pacific,12.85034575,109.6613752
2013,Q1,245,Asia_Pacific,12.85034575,109.6613752
2012,Q4,242,Asia_Pacific,12.85034575,109.6613752
2012,Q3,230,Asia_Pacific,12.85034575,109.6613752
2012,Q2,241,Asia_Pacific,12.85034575,109.6613752
2012,Q1,250,Asia_Pacific,12.85034575,109.6613752
2011,Q4,251,Asia_Pacific,12.85034575,109.6613752
2011,Q3,249,Asia_Pacific,12.85034575,109.6613752
2011,Q2,251,Asia_Pacific,12.85034575,109.6613752
2011,Q1,273,Asia_Pacific,12.85034575,109.6613752
2010,Q4,277,Asia_Pacific,12.85034575,109.6613752
2010,Q3,276,Asia_Pacific,12.85034575,109.6613752
2010,Q2,267,Asia_Pacific,12.85034575,109.6613752
2010,Q1,257,Asia_Pacific,12.85034575,109.6613752
2009,Q4,257,Asia_Pacific,12.85034575,109.6613752
2009,Q3,241,Asia_Pacific,12.85034575,109.6613752
2009,Q2,237,Asia_Pacific,12.85034575,109.6613752
2009,Q1,239,Asia_Pacific,12.85034575,109.6613752
2008,Q4,246,Asia_Pacific,12.85034575,109.6613752
2008,Q3,257,Asia_Pacific,12.85034575,109.6613752
2008,Q2,259,Asia_Pacific,12.85034575,109.6613752
2008,Q1,245,Asia_Pacific,12.85034575,109.6613752
2007,Q4,246,Asia_Pacific,12.85034575,109.6613752
2007,Q3,244,Asia_Pacific,12.85034575,109.6613752
2007,Q2,243,Asia_Pacific,12.85034575,109.6613752
2007,Q1,230,Asia_Pacific,12.85034575,109.6613752
2006,Q4,231,Asia_Pacific,12.85034575,109.6613752
2006,Q3,226,Asia_Pacific,12.85034575,109.6613752
2006,Q2,220,Asia_Pacific,12.85034575,109.6613752
2006,Q1,236,Asia_Pacific,12.85034575,109.6613752
2005,Q4,235,Asia_Pacific,12.85034575,109.6613752
2005,Q3,231,Asia_Pacific,12.85034575,109.6613752
2005,Q2,222,Asia_Pacific,12.85034575,109.6613752
2005,Q1,211,Asia_Pacific,12.85034575,109.6613752
2004,Q4,199,Asia_Pacific,12.85034575,109.6613752
2004,Q3,208,Asia_Pacific,12.85034575,109.6613752
2004,Q2,197,Asia_Pacific,12.85034575,109.6613752
2004,Q1,186,Asia_Pacific,12.85034575,109.6613752
2003,Q4,177,Asia_Pacific,12.85034575,109.6613752
2003,Q3,179,Asia_Pacific,12.85034575,109.6613752
2003,Q2,176,Asia_Pacific,12.85034575,109.6613752
2003,Q1,178,Asia_Pacific,12.85034575,109.6613752
2002,Q4,177,Asia_Pacific,12.85034575,109.6613752
2002,Q3,172,Asia_Pacific,12.85034575,109.6613752
2002,Q2,171,Asia_Pacific,12.85034575,109.6613752
2002,Q1,165,Asia_Pacific,12.85034575,109.6613752
2001,Q4,163,Asia_Pacific,12.85034575,109.6613752
2001,Q3,158,Asia_Pacific,12.85034575,109.6613752
2001,Q2,157,Asia_Pacific,12.85034575,109.6613752
2001,Q1,149,Asia_Pacific,12.85034575,109.6613752
2000,Q4,150,Asia_Pacific,12.85034575,109.6613752
2000,Q3,149,Asia_Pacific,12.85034575,109.6613752
2000,Q2,133,Asia_Pacific,12.85034575,109.6613752
2000,Q1,130,Asia_Pacific,12.85034575,109.6613752
1999,Q4,129,Asia_Pacific,12.85034575,109.6613752
1999,Q3,129,Asia_Pacific,12.85034575,109.6613752
1999,Q2,145,Asia_Pacific,12.85034575,109.6613752
1999,Q1,152,Asia_Pacific,12.85034575,109.6613752
1998,Q4,156,Asia_Pacific,12.85034575,109.6613752
1998,Q3,169,Asia_Pacific,12.85034575,109.6613752
1998,Q2,183,Asia_Pacific,12.85034575,109.6613752
1998,Q1,184,Asia_Pacific,12.85034575,109.6613752
1997,Q4,173,Asia_Pacific,12.85034575,109.6613752
1997,Q3,184,Asia_Pacific,12.85034575,109.6613752
1997,Q2,183,Asia_Pacific,12.85034575,109.6613752
1997,Q1,179,Asia_Pacific,12.85034575,109.6613752
1996,Q4,181,Asia_Pacific,12.85034575,109.6613752
1996,Q3,182,Asia_Pacific,12.85034575,109.6613752
1996,Q2,172,Asia_Pacific,12.85034575,109.6613752
1996,Q1,171,Asia_Pacific,12.85034575,109.6613752
1995,Q4,171,Asia_Pacific,12.85034575,109.6613752
1995,Q3,177,Asia_Pacific,12.85034575,109.6613752
1995,Q2,188,Asia_Pacific,12.85034575,109.6613752
1995,Q1,187,Asia_Pacific,12.85034575,109.6613752
1994,Q4,190,Asia_Pacific,12.85034575,109.6613752
1994,Q3,201,Asia_Pacific,12.85034575,109.6613752
1994,Q2,207,Asia_Pacific,12.85034575,109.6613752
1994,Q1,217,Asia_Pacific,12.85034575,109.6613752
2019,Q3,132,Canada,55.37426,-118.137329
2019,Q2,83,Canada,55.37426,-118.137329
2019,Q1,186,Canada,55.37426,-118.137329
2018,Q4,177,Canada,55.37426,-118.137329
2018,Q3,208,Canada,55.37426,-118.137329
2018,Q2,106,Canada,55.37426,-118.137329
2018,Q1,273,Canada,55.37426,-118.137329
2017,Q4,204,Canada,55.37426,-118.137329
2017,Q3,208,Canada,55.37426,-118.137329
2017,Q2,114,Canada,55.37426,-118.137329
2017,Q1,299,Canada,55.37426,-118.137329
2016,Q4,179,Canada,55.37426,-118.137329
2016,Q3,121,Canada,55.37426,-118.137329
2016,Q2,49,Canada,55.37426,-118.137329
2016,Q1,164,Canada,55.37426,-118.137329
2015,Q4,174,Canada,55.37426,-118.137329
2015,Q3,191,Canada,55.37426,-118.137329
2015,Q2,100,Canada,55.37426,-118.137329
2015,Q1,309,Canada,55.37426,-118.137329
2014,Q4,407,Canada,55.37426,-118.137329
2014,Q3,385,Canada,55.37426,-118.137329
2014,Q2,202,Canada,55.37426,-118.137329
2014,Q1,526,Canada,55.37426,-118.137329
2013,Q4,378,Canada,55.37426,-118.137329
2013,Q3,349,Canada,55.37426,-118.137329
2013,Q2,155,Canada,55.37426,-118.137329
2013,Q1,536,Canada,55.37426,-118.137329
2012,Q4,368,Canada,55.37426,-118.137329
2012,Q3,326,Canada,55.37426,-118.137329
2012,Q2,173,Canada,55.37426,-118.137329
2012,Q1,592,Canada,55.37426,-118.137329
2011,Q4,475,Canada,55.37426,-118.137329
2011,Q3,443,Canada,55.37426,-118.137329
